InvoiceId  Total  CustomerId  FullName     
80         5.94   13          Margaret Park
91         1.98   22          Margaret Park
93         3.96   26          Margaret Park
100        3.96   5           Margaret Park
101        5.94   9           Margaret Park
105        1.98   39          Margaret Park
113        1.98   20          Margaret Park
114        3.96   22          Margaret Park
115        5.94   26          Margaret Park
116        8.91   32          Margaret Park
118        0.99   55          Margaret Park
119        1.98   56          Margaret Park
122        5.94   5           Margaret Park
124        13.86  20          Margaret Park
125        0.99   34          Margaret Park
126        1.98   35          Margaret Park
128        3.96   39          Margaret Park
130        8.91   49          Margaret Park
132        0.99   13          Margaret Park
134        1.98   16          Margaret Park
136        5.94   22          Margaret Park
142        3.96   56          Margaret Park
145        13.86  16          Margaret Park
149        3.96   35          Margaret Park
150        5.94   39          Margaret Park
153        0.99   9           Margaret Park
154        1.98   10          Margaret Park
164        5.94   56          Margaret Park
167        0.99   26          Margaret Park
168        1.98   27          Margaret Park
171        5.94   35          Margaret Park
174        0.99   5           Margaret Park
176        1.98   8           Margaret Park
177        3.96   10          Margaret Park
179        8.91   20          Margaret Park
187        13.86  8           Margaret Park
188        0.99   22          Margaret Park
189        1.98   23          Margaret Park
191        3.96   27          Margaret Park
197        1.98   4           Margaret Park
199        5.94   10          Margaret Park
200        8.91   16          Margaret Park
202        1.99   39          Margaret Park
203        2.98   40          Margaret Park
208        15.86  4           Margaret Park
212        3.96   23          Margaret Park
213        5.94   27          Margaret Park
216        0.99   56          Margaret Park
223        0.99   35          Margaret Park
226        3.96   40          Margaret Park
234        5.94   23          Margaret Park
239        1.98   55          Margaret Park
242        8.91   8           Margaret Park
245        1.98   32          Margaret Park
246        1.98   34          Margaret Park
248        5.94   40          Margaret Park
250        13.86  55          Margaret Park
251        0.99   10          Margaret Park
253        1.98   13          Margaret Park
257        13.86  34          Margaret Park
259        1.98   49          Margaret Park
263        8.91   4           Margaret Park
264        13.86  13          Margaret Park
265        0.99   27          Margaret Park
268        3.96   32          Margaret Park
274        1.98   9           Margaret Park
282        3.96   49          Margaret Park
285        13.86  9           Margaret Park
286        0.99   23          Margaret Park
288        1.98   26          Margaret Park
290        5.94   32          Margaret Park
295        1.98   5           Margaret Park
299        23.86  26          Margaret Park
300        0.99   40          Margaret Park
304        5.94   49          Margaret Park
305        8.91   55          Margaret Park
306        16.86  5           Margaret Park
308        3.98   20          Margaret Park
309        3.98   22          Margaret Park
312        10.91  34          Margaret Park
319        8.91   13          Margaret Park
320        13.86  22          Margaret Park
323        1.98   39          Margaret Park
329        1.98   16          Margaret Park
331        3.96   20          Margaret Park
334        13.86  39          Margaret Park
337        1.98   56          Margaret Park
340        8.91   9           Margaret Park
342        0.99   32          Margaret Park
344        1.98   35          Margaret Park
348        13.86  56          Margaret Park
352        3.96   16          Margaret Park
353        5.94   20          Margaret Park
354        8.91   26          Margaret Park
355        13.86  35          Margaret Park
356        0.99   49          Margaret Park
361        8.91   5           Margaret Park
371        1.98   8           Margaret Park
372        1.98   10          Margaret Park
374        5.94   16          Margaret Park
375        8.91   22          Margaret Park
383        13.86  10          Margaret Park
386        1.98   27          Margaret Park
389        8.91   39          Margaret Park
392        1.98   4           Margaret Park
394        3.96   8           Margaret Park
397        13.86  27          Margaret Park
403        8.91   56          Margaret Park
405        0.99   20          Margaret Park
407        1.98   23          Margaret Park
410        8.91   35          Margaret Park
1          1.98   2           Steve Johnson
4          8.91   14          Steve Johnson
12         13.86  2           Steve Johnson
14         1.98   17          Steve Johnson
16         3.96   21          Steve Johnson
17         5.94   25          Steve Johnson
18         8.91   31          Steve Johnson
20         0.99   54          Steve Johnson
22         1.98   57          Steve Johnson
29         1.98   36          Steve Johnson
32         8.91   48          Steve Johnson
33         13.86  57          Steve Johnson
37         3.96   17          Steve Johnson
38         5.94   21          Steve Johnson
40         13.86  36          Steve Johnson
41         0.99   50          Steve Johnson
42         1.98   51          Steve Johnson
46         8.91   6           Steve Johnson
57         1.98   11          Steve Johnson
59         5.94   17          Steve Johnson
63         1.98   47          Steve Johnson
65         3.96   51          Steve Johnson
67         8.91   2           Steve Johnson
68         13.86  11          Steve Johnson
69         0.99   25          Steve Johnson
71         1.98   28          Steve Johnson
78         1.98   7           Steve Johnson
82         13.86  28          Steve Johnson
86         3.96   47          Steve Johnson
87         6.94   51          Steve Johnson
88         17.91  57          Steve Johnson
89         18.86  7           Steve Johnson
90         0.99   21          Steve Johnson
95         8.91   36          Steve Johnson
106        1.98   41          Steve Johnson
108        5.94   47          Steve Johnson
111        0.99   17          Steve Johnson
117        13.86  41          Steve Johnson
123        8.91   11          Steve Johnson
133        1.98   14          Steve Johnson
137        8.91   28          Steve Johnson
139        0.99   51          Steve Johnson
141        1.98   54          Steve Johnson
144        8.91   7           Steve Johnson
147        1.98   31          Steve Johnson
152        13.86  54          Steve Johnson
156        3.96   14          Steve Johnson
160        0.99   47          Steve Johnson
161        1.98   48          Steve Johnson
162        1.98   50          Steve Johnson
170        3.96   31          Steve Johnson
172        8.91   41          Steve Johnson
173        13.86  50          Steve Johnson
175        1.98   6           Steve Johnson
178        5.94   14          Steve Johnson
184        3.96   48          Steve Johnson
190        1.98   25          Steve Johnson
192        5.94   31          Steve Johnson
196        1.98   2           Steve Johnson
198        3.96   6           Steve Johnson
201        18.86  25          Steve Johnson
206        8.94   48          Steve Johnson
207        8.91   54          Steve Johnson
211        1.98   21          Steve Johnson
217        1.98   57          Steve Johnson
219        3.96   2           Steve Johnson
220        5.94   6           Steve Johnson
222        13.86  21          Steve Johnson
224        1.98   36          Steve Johnson
228        8.91   50          Steve Johnson
230        0.99   14          Steve Johnson
232        1.98   17          Steve Johnson
240        3.96   57          Steve Johnson
241        5.94   2           Steve Johnson
243        13.86  17          Steve Johnson
244        0.99   31          Steve Johnson
247        3.96   36          Steve Johnson
252        1.98   11          Steve Johnson
256        8.91   25          Steve Johnson
258        0.99   48          Steve Johnson
260        1.98   51          Steve Johnson
262        5.94   57          Steve Johnson
266        1.98   28          Steve Johnson
269        5.94   36          Steve Johnson
271        13.86  51          Steve Johnson
272        0.99   6           Steve Johnson
273        1.98   7           Steve Johnson
275        3.96   11          Steve Johnson
277        8.91   21          Steve Johnson
281        1.98   47          Steve Johnson
289        3.96   28          Steve Johnson
292        13.86  47          Steve Johnson
293        0.99   2           Steve Johnson
296        3.96   7           Steve Johnson
297        5.94   11          Steve Johnson
298        10.91  17          Steve Johnson
301        1.98   41          Steve Johnson
311        11.94  28          Steve Johnson
314        0.99   57          Steve Johnson
318        5.94   7           Steve Johnson
321        0.99   36          Steve Johnson
324        3.96   41          Steve Johnson
326        8.91   51          Steve Johnson
336        1.98   54          Steve Johnson
346        5.94   41          Steve Johnson
347        8.91   47          Steve Johnson
349        0.99   11          Steve Johnson
351        1.98   14          Steve Johnson
357        1.98   50          Steve Johnson
359        3.96   54          Steve Johnson
362        13.86  14          Steve Johnson
363        0.99   28          Steve Johnson
365        1.98   31          Steve Johnson
370        0.99   7           Steve Johnson
376        13.86  31          Steve Johnson
379        1.98   48          Steve Johnson
380        3.96   50          Steve Johnson
381        5.94   54          Steve Johnson
385        1.98   25          Steve Johnson
390        13.86  48          Steve Johnson
393        1.98   6           Steve Johnson
398        0.99   41          Steve Johnson
402        5.94   50          Steve Johnson
404        25.86  6           Steve Johnson
406        1.98   21          Steve Johnson
408        3.96   25          Steve Johnson
