InvoiceId  CustomerName           BillingCountry  EmployeeName   Total
78         Astrid Gruber          Austria         Steve Johnson  1.98 
82         Julia Barnett          USA             Steve Johnson  13.86
86         Lucas Mancini          Italy           Steve Johnson  3.96 
87         Joakim Johansson       Sweden          Steve Johnson  6.94 
88         Luis Rojas             Chile           Steve Johnson  17.91
89         Astrid Gruber          Austria         Steve Johnson  18.86
90         Kathy Chase            USA             Steve Johnson  0.99 
95         Hannah Schneider       Germany         Steve Johnson  8.91 
106        Marc Dubois            France          Steve Johnson  1.98 
108        Lucas Mancini          Italy           Steve Johnson  5.94 
111        Jack Smith             USA             Steve Johnson  0.99 
117        Marc Dubois            France          Steve Johnson  13.86
123        Alexandre Rocha        Brazil          Steve Johnson  8.91 
133        Mark Philips           Canada          Steve Johnson  1.98 
137        Julia Barnett          USA             Steve Johnson  8.91 
139        Joakim Johansson       Sweden          Steve Johnson  0.99 
141        Steve Murray           United Kingdom  Steve Johnson  1.98 
144        Astrid Gruber          Austria         Steve Johnson  8.91 
147        Martha Silk            Canada          Steve Johnson  1.98 
152        Steve Murray           United Kingdom  Steve Johnson  13.86
156        Mark Philips           Canada          Steve Johnson  3.96 
160        Lucas Mancini          Italy           Steve Johnson  0.99 
161        Johannes Van der Berg  Netherlands     Steve Johnson  1.98 
162        Enrique Muñoz          Spain           Steve Johnson  1.98 
170        Martha Silk            Canada          Steve Johnson  3.96 
172        Marc Dubois            France          Steve Johnson  8.91 
173        Enrique Muñoz          Spain           Steve Johnson  13.86
175        Helena Holý            Czech Republic  Steve Johnson  1.98 
178        Mark Philips           Canada          Steve Johnson  5.94 
184        Johannes Van der Berg  Netherlands     Steve Johnson  3.96 
190        Victor Stevens         USA             Steve Johnson  1.98 
192        Martha Silk            Canada          Steve Johnson  5.94 
196        Leonie Köhler          Germany         Steve Johnson  1.98 
198        Helena Holý            Czech Republic  Steve Johnson  3.96 
201        Victor Stevens         USA             Steve Johnson  18.86
206        Johannes Van der Berg  Netherlands     Steve Johnson  8.94 
207        Steve Murray           United Kingdom  Steve Johnson  8.91 
211        Kathy Chase            USA             Steve Johnson  1.98 
217        Luis Rojas             Chile           Steve Johnson  1.98 
219        Leonie Köhler          Germany         Steve Johnson  3.96 
220        Helena Holý            Czech Republic  Steve Johnson  5.94 
222        Kathy Chase            USA             Steve Johnson  13.86
224        Hannah Schneider       Germany         Steve Johnson  1.98 
228        Enrique Muñoz          Spain           Steve Johnson  8.91 
230        Mark Philips           Canada          Steve Johnson  0.99 
232        Jack Smith             USA             Steve Johnson  1.98 
240        Luis Rojas             Chile           Steve Johnson  3.96 
241        Leonie Köhler          Germany         Steve Johnson  5.94 
243        Jack Smith             USA             Steve Johnson  13.86
244        Martha Silk            Canada          Steve Johnson  0.99 
247        Hannah Schneider       Germany         Steve Johnson  3.96 
252        Alexandre Rocha        Brazil          Steve Johnson  1.98 
256        Victor Stevens         USA             Steve Johnson  8.91 
258        Johannes Van der Berg  Netherlands     Steve Johnson  0.99 
260        Joakim Johansson       Sweden          Steve Johnson  1.98 
262        Luis Rojas             Chile           Steve Johnson  5.94 
266        Julia Barnett          USA             Steve Johnson  1.98 
269        Hannah Schneider       Germany         Steve Johnson  5.94 
271        Joakim Johansson       Sweden          Steve Johnson  13.86
272        Helena Holý            Czech Republic  Steve Johnson  0.99 
273        Astrid Gruber          Austria         Steve Johnson  1.98 
275        Alexandre Rocha        Brazil          Steve Johnson  3.96 
277        Kathy Chase            USA             Steve Johnson  8.91 
281        Lucas Mancini          Italy           Steve Johnson  1.98 
289        Julia Barnett          USA             Steve Johnson  3.96 
292        Lucas Mancini          Italy           Steve Johnson  13.86
293        Leonie Köhler          Germany         Steve Johnson  0.99 
296        Astrid Gruber          Austria         Steve Johnson  3.96 
297        Alexandre Rocha        Brazil          Steve Johnson  5.94 
298        Jack Smith             USA             Steve Johnson  10.91
301        Marc Dubois            France          Steve Johnson  1.98 
311        Julia Barnett          USA             Steve Johnson  11.94
314        Luis Rojas             Chile           Steve Johnson  0.99 
318        Astrid Gruber          Austria         Steve Johnson  5.94 
321        Hannah Schneider       Germany         Steve Johnson  0.99 
324        Marc Dubois            France          Steve Johnson  3.96 
326        Joakim Johansson       Sweden          Steve Johnson  8.91 
336        Steve Murray           United Kingdom  Steve Johnson  1.98 
346        Marc Dubois            France          Steve Johnson  5.94 
347        Lucas Mancini          Italy           Steve Johnson  8.91 
349        Alexandre Rocha        Brazil          Steve Johnson  0.99 
351        Mark Philips           Canada          Steve Johnson  1.98 
357        Enrique Muñoz          Spain           Steve Johnson  1.98 
359        Steve Murray           United Kingdom  Steve Johnson  3.96 
362        Mark Philips           Canada          Steve Johnson  13.86
363        Julia Barnett          USA             Steve Johnson  0.99 
365        Martha Silk            Canada          Steve Johnson  1.98 
370        Astrid Gruber          Austria         Steve Johnson  0.99 
376        Martha Silk            Canada          Steve Johnson  13.86
379        Johannes Van der Berg  Netherlands     Steve Johnson  1.98 
380        Enrique Muñoz          Spain           Steve Johnson  3.96 
381        Steve Murray           United Kingdom  Steve Johnson  5.94 
385        Victor Stevens         USA             Steve Johnson  1.98 
390        Johannes Van der Berg  Netherlands     Steve Johnson  13.86
393        Helena Holý            Czech Republic  Steve Johnson  1.98 
398        Marc Dubois            France          Steve Johnson  0.99 
402        Enrique Muñoz          Spain           Steve Johnson  5.94 
404        Helena Holý            Czech Republic  Steve Johnson  25.86
406        Kathy Chase            USA             Steve Johnson  1.98 
408        Victor Stevens         USA             Steve Johnson  3.96 
